,Entity,Year,Countries Continents
200,Romania,2015.0,Europe
201,Russia,2015.0,Europe
202,Rwanda,2015.0,Africa
203,Saint Barthélemy,2015.0,North America
204,Saint Helena,2015.0,Africa
205,Saint Kitts and Nevis,2015.0,North America
206,Saint Lucia,2015.0,North America
207,Saint Martin (French part),2015.0,North America
208,Saint Pierre and Miquelon,2015.0,North America
209,Saint Vincent and the Grenadines,2015.0,North America
210,Samoa,2015.0,Oceania
211,San Marino,2015.0,Europe
212,Sao Tome and Principe,2015.0,Africa
213,Saudi Arabia,2015.0,Asia
214,Saxony,2015.0,Europe
215,Senegal,2015.0,Africa
216,Serbia,2015.0,Europe
217,Serbia and Montenegro,2015.0,Europe
218,Serbia excluding Kosovo,2015.0,Europe
219,Seychelles,2015.0,Africa
220,Sierra Leone,2015.0,Africa
221,Singapore,2015.0,Asia
222,Sint Maarten (Dutch part),2015.0,North America
223,Slovakia,2015.0,Europe
224,Slovenia,2015.0,Europe
225,Solomon Islands,2015.0,Oceania
226,Somalia,2015.0,Africa
227,Somaliland,2015.0,Africa
228,South Africa,2015.0,Africa
229,South Georgia and the South Sandwich Islands,2015.0,South America
230,South Korea,2015.0,Asia
231,South Ossetia,2015.0,Asia
232,South Sudan,2015.0,Africa
233,Spain,2015.0,Europe
234,Sri Lanka,2015.0,Asia
235,Sudan,2015.0,Africa
236,Suriname,2015.0,South America
237,Svalbard and Jan Mayen,2015.0,Europe
238,Sweden,2015.0,Europe
239,Switzerland,2015.0,Europe
240,Syria,2015.0,Asia
241,Taiwan,2015.0,Asia
242,Tajikistan,2015.0,Asia
243,Tanzania,2015.0,Africa
244,Thailand,2015.0,Asia
245,Timor,2015.0,Asia
246,Togo,2015.0,Africa
247,Tokelau,2015.0,Oceania
248,Tonga,2015.0,Oceania
249,Transnistria,2015.0,Europe
250,Trinidad and Tobago,2015.0,North America
251,Tunisia,2015.0,Africa
252,Turkey,2015.0,Asia
253,Turkmenistan,2015.0,Asia
254,Turks and Caicos Islands,2015.0,North America
255,Tuscany,2015.0,Europe
256,Tuvalu,2015.0,Oceania
257,Two Sicilies,2015.0,Europe
258,USSR,2015.0,Europe
259,Uganda,2015.0,Africa
260,Ukraine,2015.0,Europe
261,United Arab Emirates,2015.0,Asia
262,United Kingdom,2015.0,Europe
263,United Korea,2015.0,Asia
264,United States,2015.0,North America
265,United States Minor Outlying Islands,2015.0,Oceania
266,United States Virgin Islands,2015.0,North America
267,Uruguay,2015.0,South America
268,Uzbekistan,2015.0,Asia
269,Vanuatu,2015.0,Oceania
270,Vatican,2015.0,Europe
271,Venezuela,2015.0,South America
272,Vietnam,2015.0,Asia
273,Wallis and Futuna,2015.0,Oceania
274,West Germany,2015.0,Europe
275,Western Sahara,2015.0,Africa
276,Wuerttemburg,2015.0,Europe
277,Yemen,2015.0,Asia
278,Yemen Arab Republic,2015.0,Asia
279,Yemen People's Republic,2015.0,Asia
280,Yugoslavia,2015.0,Europe
281,Zambia,2015.0,Africa
282,Zanzibar,2015.0,Africa
283,Zimbabwe,2015.0,Africa
284,Åland Islands,2015.0,Europe
285,Kingdom of the Netherlands,2022.0,Europe
286,Soviet Union,2022.0,Europe
287,Turkish Republic of Northern Cyprus,2022.0,Europe
288,Socialist Federal Republic of Yugoslavia,2022.0,Europe
289,British India,2022.0,Asia
290,Bosnia and Herzegovina,2022.0,Europe
291,Dominion of India,2022.0,Asia
292,Mandatory Palestine,2022.0,Asia
293,England,,Europe
294,Scotland,,Europe
295,Wales,,Europe
296,Northern Ireland,,Europe
